user_id,game_id,voted_up,playtime_at_review
76561199573628959,30,1,313.0
76561199311054932,30,1,12.0
76561199778669225,30,1,12.0
76561199755180407,379720,1,1614.0
76561199434122619,379720,1,29.0
76561198143926658,379720,1,518.0
76561198749127810,379720,1,726.0
76561198071681326,379720,1,803.0
76561198809175147,379720,1,1024.0
76561199452118908,379720,1,573.0
76561199135965650,379720,1,821.0
76561198070102349,379720,1,1240.0
76561198182011083,379720,1,1356.0
76561199471625789,379720,1,622.0
76561199465983052,379720,1,111.0
76561198011103499,379720,1,1240.0
76561199836748994,379720,1,1502.0
76561198158833288,379720,1,491.0
76561198425049053,379720,1,1439.0
76561199619699875,379720,1,770.0
76561198037335638,379720,1,987.0
76561199027314352,379720,1,881.0
76561199013305014,379720,1,554.0
76561199768124641,379720,1,2099.0
76561198076609178,379720,1,529.0
76561198123472224,2630,1,514.0
76561198062066695,2630,1,1366.0
76561197987803836,2630,0,641.0
76561199467919785,2630,1,689.0
76561199148718064,511470,1,36.0
76561199052132398,511470,1,333.0
76561197970839551,4560,1,351.0
76561198247144320,4560,1,82.0
76561198037318831,4560,1,17.0
76561199826222515,414700,1,1052.0
76561198156693088,414700,1,403.0
76561198750292271,414700,1,410.0
76561198182011083,414700,1,1538.0
76561199345346255,414700,1,925.0
76561199465983052,414700,0,707.0
76561198975172543,414700,1,523.0
76561199212379592,414700,1,1693.0
76561199262775562,414700,1,491.0
76561198943269564,414700,1,953.0
76561198163754188,414700,0,450.0
76561199518976702,414700,0,362.0
76561198797040820,414700,0,163.0
76561199168920892,414700,1,390.0
76561199787242007,414700,1,467.0
76561199025136218,414700,1,100.0
76561197970095726,414700,0,136.0
76561199274925824,414700,1,1350.0
76561198365592244,414700,1,221.0
76561199349371130,414700,1,348.0
76561199004316303,414700,1,429.0
76561198393708385,414700,0,24.0
76561198853373521,414700,1,446.0
76561199503673939,414700,1,622.0
76561199193987282,3241660,1,2335.0
76561199282577665,3241660,1,6606.0
76561198000544100,3241660,1,318.0
76561198034680627,3241660,1,268.0
76561199259594163,3241660,1,1042.0
76561199120197352,3241660,1,3237.0
76561199371185951,3241660,1,237.0
76561198869834930,3241660,1,187.0
76561198763831234,3241660,1,2278.0
76561199755180407,3241660,1,5996.0
76561199586342016,3241660,1,180.0
76561198784963383,3241660,1,1512.0
76561199469473321,3241660,1,513.0
76561198083566437,286690,1,1583.0
76561198047473978,286690,1,737.0
76561199080887673,286690,1,445.0
76561198202312397,286690,1,314.0
76561199455004643,286690,1,503.0
76561198042647684,286690,1,2282.0
76561198044366894,286690,1,1398.0
76561198117614118,286690,1,848.0
76561198007871300,286690,1,1628.0
76561199389518420,286690,1,577.0
76561198034103608,286690,1,492.0
76561199046591544,286690,1,1170.0
76561198948914090,286690,1,586.0
76561198994999647,286690,1,445.0
76561199213367040,286690,1,453.0
76561198062229100,286690,1,1991.0
76561198776761708,286690,1,498.0
76561199228426016,286690,1,1014.0
76561198122857610,286690,1,449.0
76561198886550899,286690,1,595.0
76561197987389702,286690,0,728.0
76561198116199243,286690,1,528.0
76561198083808173,286690,1,443.0
76561199170922974,286690,1,542.0
76561198078059329,286690,1,4292.0
76561198798546131,286690,1,380.0
76561198834807440,286690,1,577.0
76561198268027781,286690,1,967.0
76561198238161156,286690,1,453.0
76561199562637370,286690,1,766.0
76561198093163382,286690,1,696.0
76561198399039407,262060,1,5100.0
76561198058208909,262060,1,4164.0
76561198349767294,262060,1,966.0
76561198013940371,262060,1,2861.0
76561198312102799,262060,0,5758.0
76561198019865542,262060,1,1097.0
76561198142688039,262060,1,74427.0
76561198828253904,262060,0,271.0
76561197970839551,262060,1,512.0
76561198431349931,262060,1,9162.0
76561198069729018,262060,1,7808.0
76561198120632907,335240,1,68526.0
76561197985041676,335240,1,38.0
76561198186378793,335240,1,842.0
76561198012095613,212500,1,5575.0
76561198074959011,212500,1,3573.0
76561198148299822,212500,0,331.0
76561198081585593,212500,0,12.0
76561198101845081,212500,1,2478.0
76561198126193402,212500,0,7723.0
76561198052380921,1129580,1,7997.0
76561199686833768,1129580,1,11260.0
76561199110367105,1129580,0,21583.0
76561198886923763,1129580,1,812.0
76561198071292607,1129580,1,9675.0
76561199579923295,1129580,1,12910.0
76561198074188895,1129580,0,233.0
76561198132868854,1129580,0,2365.0
76561199016985128,1129580,1,1237.0
76561199134124942,1129580,1,2494.0
76561198124641884,1262580,0,146.0
76561198053780225,1262580,0,1024.0
76561198408831510,1262580,1,1244.0
76561199401496540,1262580,1,148.0
76561199223564154,1262580,1,1222.0
76561198877358354,1262580,1,5131.0
76561198415383114,1262580,1,45.0
76561198154681934,436150,1,4252.0
76561198332509368,436150,1,3168.0
76561199185580870,1030840,1,1837.0
76561198330866453,1030840,1,1334.0
76561199219630849,1030840,1,548.0
76561198986799446,1030840,0,658.0
76561199170107821,1030840,1,978.0
76561197972458433,1030840,1,678.0
76561198022059651,1030840,1,189.0
76561199230392538,1030840,1,581.0
76561198001333519,1030840,1,1360.0
76561199889014253,1030840,1,491.0
76561197994279442,1030840,1,623.0
76561198093163382,1030840,0,538.0
76561199496024438,1030840,1,126.0
76561198290030727,1030840,1,968.0
76561198990945368,1030840,0,594.0
76561198758215851,1030840,1,512.0
76561199022528400,1030840,1,464.0
76561198024901370,1030840,1,819.0
76561198005390426,1030840,1,588.0
76561198170389418,1030840,1,1664.0
76561199094422122,1030840,1,510.0
76561198771309221,1030840,1,615.0
76561199817500927,1030840,1,658.0
76561198080380399,1030840,1,700.0
76561198110102557,1030840,0,350.0
76561198035944029,1030840,1,701.0
76561198070156955,1030840,1,781.0
76561199589124493,1030840,1,842.0
76561199124277035,1030840,1,738.0
76561198250589670,1030840,1,828.0
76561198094351998,686810,0,2758.0
76561198353807224,686810,1,4141.0
76561198165497624,686810,1,6921.0
76561198800334620,686810,0,418.0
76561198023216932,686810,1,17747.0
76561197971690897,1237950,1,8.0
76561198984411768,1237950,1,3262.0
76561199886192094,1237950,1,811.0
76561198034821974,1237950,1,1147.0
76561199617196259,1237950,1,3280.0
76561199859554837,1237950,1,59.0
76561198405100412,1237950,0,781.0
76561198344805572,1237950,1,1079.0
76561198057150228,1237950,1,326.0
76561199277544990,1237950,1,342.0
76561197960456257,1237950,1,364.0
76561199821493620,1237950,1,1575.0
76561198335359479,1237950,1,306.0
76561199243636308,1237950,1,2704.0
